B04	B03	B28	B29	B05	B07	B06	B08	B13	B09	B10	B12	B23	B16	B02	B19	B20	B21	B22	B14	B24	B25	B26	B27
書目識別號(不得修改)	書名	並列題名	分類號類型	分類號	作者	作者號	版本	語言別	出版地	出版社	出版年	裝訂別	價格	ISBN	面寬數	高寬	圖表	附件	稽核項	集叢項	附註項	主題項	追尋項
B01	B04	B03	B53	B54	B55	B56	B57	B58	B52	B59	B60	B61	B62	B63
館藏登錄號(不得重複)	書目識別號	書名(不得修改)	館藏狀態	流通別	資料別	特藏號	冊次號	複本號	排架號	館藏地	來源別	捐贈者	附件	新增日期
00000112	000102	明天你還愛我嗎?	報廢		一般圖書			v1		"本館藏書	"				91-03-14
00000113	000103	好想遇見你	報廢		一般圖書			v2		"本館藏書	"				91-03-14
00000114	000104	臺北E世代生活寶典You&Me	報廢		一般圖書			v2		"本館藏書	"				91-03-14
00000115	000105	臺北E世代生活寶典	報廢		一般圖書					"本館藏書	"				91-03-14
00000116	000106	臺北E世代生活寶典Body&Soul	報廢		一般圖書			V1		"本館藏書	"				91-03-14
00000117	000107	臺北E世代生活寶典Young Guns	報廢		一般圖書			v3		"本館藏書	"				91-03-14
00000118	000108	臺北E世代生活寶典E世代Q&A	報廢		一般圖書			v4		"本館藏書	"				91-03-14
00000119	000109		館內架上		一般圖書					"本館藏書	"				91-03-19
00000120	000110	陽明山之旅	館內架上		一般圖書					"本館藏書	"				91-03-19
00000121	000111	明天你還愛我嗎？	館內架上		一般圖書			V1		"本館藏書	"				91-03-19
00000122	000112	好想遇見你	報廢		一般圖書			V1		"本館藏書	"				91-03-19
00000123	000113	情人	遺失		一般圖書			V1		"本館藏書	"				91-03-19
00000124	000114		館內架上		一般圖書					"本館藏書	"				91-03-19
00000125	000115	刺蝟拉弟	館內架上		一般圖書			C1		"本館藏書	"				91-03-19
00000126	000116		館內架上		一般圖書					"本館藏書	"				91-03-19
00000127	000117	童年地圖	報廢		一般圖書			V1		"本館藏書	"				91-03-19
00000128	000118	校園兩性關係	報廢		一般圖書					"本館藏書	"				91-03-19
00000129	000119	高信譚教愛手冊	報廢		一般圖書					"本館藏書	"				91-03-19
00000130	000121	我也會畫	報廢		一般圖書			V1		"本館藏書	"				91-03-21
00000131	000122	情詩賞析	報廢		一般圖書			V1		"本館藏書	"				91-03-21
00000132	000124	有趣的鍵盤和聲	報廢		一般圖書			V1		"本館藏書	"				91-03-21
00000133	000125	國民保健手冊	報廢		一般圖書			c1		"本館藏書	"				91-03-21
00000134	000126	萬華古蹟追尋	報廢		一般圖書			V1		"本館藏書	"				91-03-21
00000135	000127	鱷魚手記	館內架上		一般圖書			V1		"本館藏書	"				91-03-21
00000136	000128	新舊男女兩性平權新視野	報廢		一般圖書			V1		"本館藏書	"				91-03-21
00000137	000129	林木森森綠家園(含學習手冊)	報廢		一般圖書			V1		"本館藏書	"				91-03-21
00000138	000130	難不倒你	報廢		一般圖書			V1		"本館藏書	"				91-03-21
00000139	000131	快樂天堂	報廢		一般圖書			V1		"本館藏書	"				91-03-21
00000140	000137	陽明山國家公園	館內架上		一般圖書					"本館藏書	"				91-03-26
00000141	000138	玉山國家公園	館內架上		一般圖書					"本館藏書	"				91-03-26
00000142	000139	福爾摩沙的烙印(上冊)	報廢		一般圖書			V1		"本館藏書	"				91-03-26
00000143	000140	福爾摩沙的烙印〈下冊〉	報廢		一般圖書			v2		"本館藏書	"				91-03-26
00000144	000141	福爾摩沙的烙印〈上冊〉	報廢		一般圖書			V1		"本館藏書	"				91-03-26
00000145	000142	福爾摩沙的烙印〈下冊〉	報廢		一般圖書			V2		"本館藏書	"				91-03-26
00000146	000143	揭開福爾摩沙的面紗〈上冊〉	報廢		一般圖書			V1		"本館藏書	"				91-03-26
00000147	000144	揭開福爾摩沙的面紗〈下冊〉	館內架上		一般圖書			v2		"本館藏書	"				91-03-26
00000148	000145	福爾摩沙傳奇〈上冊〉	報廢		一般圖書			V1		"本館藏書	"				91-03-26
00000149	000146	福爾摩沙傳奇〈下冊〉	報廢		一般圖書			v2		"本館藏書	"				91-03-26
00000150	000147	福爾摩沙的生命力	報廢		一般圖書			V2		"本館藏書	"				91-03-26
00000151	000148	福爾摩沙之美	館內架上		一般圖書			v1		"本館藏書	"				91-03-26
00000152	000149	福爾摩沙之美	館內架上		一般圖書			V1		"本館藏書	"				91-03-26
00000155	000152	如何保護自己	報廢		一般圖書			V1		"本館藏書	"				91-03-26
00000157	000154	中國名民謠彈唱曲集	館內架上		一般圖書			C1		"本館藏書	"				91-03-26
00000159	000156	好聽的節日故事	報廢		一般圖書					"本館藏書	"				91-03-26
00000160	000158	有趣的象形文字	報廢		一般圖書					"本館藏書	"				91-03-26
00000161	000159	快樂的啟思作文	報廢		一般圖書					"本館藏書	"				91-03-26
00000162	000161	實用的標點符號	報廢		一般圖書					"本館藏書	"				91-03-26
00000163	000163	陳榮盛歌曲集	館內架上		一般圖書			c1		"本館藏書	"				91-03-26
00000165	000165	我的貓咪我的狂愛	館內架上		一般圖書			V1		"本館藏書	"				91-04-02
00000166	000166	一隻向後開槍的獅子	館內架上		一般圖書			V1		"本館藏書	"				91-04-02
00000167	000167	我也會畫	報廢		一般圖書			V1		"本館藏書	"				91-04-02
00000168	000168	鯨魚不快樂時	館內架上		一般圖書			V1		"本館藏書	"				91-04-09
00000173	000172	童書非童書	報廢		一般圖書			V1C1		"本館藏書	"				91-04-09
00000174	000174	如何建立孩子的自尊	報廢		一般圖書					"本館藏書	"				91-04-09
00000175	000175	如何建立孩子的價值觀	館內架上		一般圖書			V1		"本館藏書	"				91-04-16
00000176	000176	如何作你女兒的好爸爸	館內架上		一般圖書			V1		"本館藏書	"				91-04-16
00000177	000177	如何幫助孩子有效學習	館內架上		一般圖書			V1		"本館藏書	"				91-04-16
00000178	000178	烤箱讀書會	報廢		一般圖書			V1		"本館藏書	"				91-04-16
00000179	000179	大人物小典故	報廢		一般圖書					"本館藏書	"				91-04-16
00000180	000180	電你一下	報廢		一般圖書			v1		"本館藏書	"				91-04-16
00000181	000181	大人物小故事	館內架上		一般圖書			V1		"本館藏書	"				91-04-18
00000182	000182	無脊椎真奇妙	館內架上		一般圖書			V1		"本館藏書	"				91-04-18
00000183	000183	台灣賞鳥地圖	館內架上		一般圖書			V1		"本館藏書	"				91-04-18
00000184	000184	畫家畫話	報廢		一般圖書			V1		"本館藏書	"				91-04-18
00000185	000185	台灣賞螢地圖	館內架上		一般圖書			V1		"本館藏書	"				91-04-18
00000186	000186	百變乳品新口味	報廢		一般圖書			V1		"本館藏書	"				91-04-18
00000187	000187	The Tempest (暴風雨)	館內架上		一般圖書			V15		"本館藏書	"				91-04-18
00000188	000188	發現台灣野鳥	報廢		一般圖書			V1		"本館藏書	"				91-04-18
00000189	000189	大人物小祕密	報廢		一般圖書			V1		"本館藏書	"				91-04-18
00000190	000190	享受閱讀親子共讀有妙方	報廢		一般圖書			V1		"本館藏書	"				91-04-18
00000191	000191	台灣野鳥地圖	館內架上		一般圖書			V1		"本館藏書	"				91-04-18
00000192	000192	親子數學(高級篇)	館內架上		一般圖書			V1		"本館藏書	"				91-04-18
00000193	000193	親子數學(初級篇)	館內架上		一般圖書			V1		"本館藏書	"				91-04-18
